City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Fare,PF,79.36,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
7,El Alto,PE,74.86,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
12,Half Moon Bay,US,71.11,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
13,Rikitea,PF,73.96,broken clouds,-23.1203,-134.9692,Pension Maro'i
15,San Patricio,US,89.69,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
16,Padang,ID,77.54,overcast clouds,-0.9492,100.3543,Mercure Padang
19,Carutapera,BR,86.7,clear sky,-1.195,-46.02,Lidera
21,Guatire,VE,85.69,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
23,Vila Velha,BR,85.96,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
27,Antalaha,MG,72.61,clear sky,-14.9003,50.2788,Hotel Vitasoa
29,Sao Filipe,CV,73.11,clear sky,14.8961,-24.4956,Hotel Xaguate
32,Nador,MA,71.67,few clouds,35.174,-2.9287,Hôtel La Giralda
35,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
40,Vao,NC,70.65,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
46,Namibe,AO,74.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
47,Hilo,US,76.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
48,Castro,BR,70.97,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
52,Atuona,PF,79.77,few clouds,-9.8,-139.0333,Villa Enata
54,Butaritari,KI,81.64,light rain,3.0707,172.7902,Isles Sunset Lodge
55,Lorengau,PG,80.67,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
58,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
63,Nioaque,BR,92.71,overcast clouds,-21.1353,-55.83,Nioaque Novo Hotel
64,Taraz,KZ,72.01,broken clouds,42.9,71.3667,Comfort Inn
67,Hithadhoo,MV,82.94,overcast clouds,-0.6,73.0833,Scoop Guest House
69,Tabou,CI,82.94,overcast clouds,4.423,-7.3528,hotêl doufoulougou
72,Erzin,TR,74.12,broken clouds,36.9559,36.2,Artemis Otel
74,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Tura,IN,73.83,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
77,Chimbote,PE,71.6,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
78,Pangai,TO,71.71,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
79,Belmonte,BR,82.9,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
81,Conakry,GN,84.27,broken clouds,9.538,-13.6773,Riviera Royal Hotel
83,Maraa,BR,80.15,overcast clouds,-1.8333,-65.3667,
87,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
95,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
96,Cam Ranh,VN,82.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
99,Denpasar,ID,80.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
100,Saquarema,BR,86.14,scattered clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
105,Naze,JP,71.37,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
106,Bardiyah,LY,74.16,few clouds,31.7561,25.0865,بورتو بردية
112,Macherla,IN,93.78,scattered clouds,16.4833,79.4333,Vivek express
114,Grand Gaube,MU,72.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
120,Bengkulu,ID,75.4,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
122,Ponta Do Sol,PT,74.01,scattered clouds,32.6667,-17.1,Hotel do Campo
123,Birao,CF,92.93,broken clouds,10.2849,22.7882,
125,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,Kananga,CD,77.43,broken clouds,-5.8958,22.4178,Guest House Wood Land
128,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
