City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pisco,PE,-13.7,-76.2167,67.01,94,90,8.05,overcast clouds
1,Severo-Kurilsk,RU,50.6789,156.125,38.34,93,83,8.79,broken clouds
2,Qaanaaq,GL,77.484,-69.3632,40.15,91,93,5.06,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,33.46,93,75,27.63,broken clouds
4,Vaini,TO,-21.2,-175.2,64.56,100,75,2.3,broken clouds
5,Fare,PF,-16.7,-151.0167,79.36,72,28,3.36,scattered clouds
6,Shedok,RU,44.2179,40.8487,62.47,91,30,3.49,scattered clouds
7,El Alto,PE,-4.2714,-81.2147,74.86,70,36,15.05,scattered clouds
8,Tiksi,RU,71.6872,128.8694,32.61,97,100,13.71,overcast clouds
9,Inuvik,CA,68.3499,-133.7218,30.96,67,75,9.22,broken clouds
10,Lavrentiya,RU,65.5833,-171.0,28.44,88,8,10.98,clear sky
11,Hobart,AU,-42.8794,147.3294,48.06,73,90,1.01,overcast clouds
12,Half Moon Bay,US,37.4636,-122.4286,71.11,73,90,4.61,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,73.96,71,69,17.11,broken clouds
14,Eureka,US,40.8021,-124.1637,55.26,86,19,4.0,few clouds
15,San Patricio,US,28.017,-97.5169,89.69,68,81,10.58,broken clouds
16,Padang,ID,-0.9492,100.3543,77.54,89,85,2.24,overcast clouds
17,Nikolskoye,RU,59.7035,30.7861,57.09,69,64,8.03,broken clouds
18,Alice Springs,AU,-23.7,133.8833,40.55,65,90,7.63,overcast clouds
19,Carutapera,BR,-1.195,-46.02,86.7,59,10,6.76,clear sky
20,Port Hardy,CA,50.6996,-127.4199,50.18,81,75,6.91,broken clouds
21,Guatire,VE,10.4762,-66.5427,85.69,86,51,2.48,broken clouds
22,Zlobin,HR,45.2924,14.6541,63.7,35,40,4.5,scattered clouds
23,Vila Velha,BR,-20.3297,-40.2925,85.96,63,20,8.99,few clouds
24,Grindavik,IS,63.8424,-22.4338,55.56,87,90,47.98,moderate rain
25,Yulara,AU,-25.2406,130.9889,42.64,70,0,6.91,clear sky
26,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,75,20,9.01,few clouds
27,Antalaha,MG,-14.9003,50.2788,72.61,86,1,8.63,clear sky
28,East London,ZA,-33.0153,27.9116,63.54,67,0,12.66,clear sky
29,Sao Filipe,CV,14.8961,-24.4956,73.11,78,6,11.65,clear sky
30,Hermanus,ZA,-34.4187,19.2345,61.81,87,24,16.58,few clouds
31,Portland,US,45.5234,-122.6762,60.58,69,75,1.01,broken clouds
32,Nador,MA,35.174,-2.9287,71.67,73,20,8.81,few clouds
33,Bredasdorp,ZA,-34.5322,20.0403,61.29,88,7,14.2,clear sky
34,Taoudenni,ML,22.6783,-3.9836,113.31,3,55,10.42,broken clouds
35,Sibu,MY,2.3,111.8167,77.31,94,40,1.16,scattered clouds
36,Sitka,US,57.0531,-135.33,46.29,87,90,4.61,light rain
37,Krasnoselkup,RU,65.7,82.4667,31.12,75,97,21.27,overcast clouds
38,Tasiilaq,GL,65.6145,-37.6368,39.36,96,100,12.5,moderate rain
39,Paamiut,GL,61.994,-49.6678,41.88,72,89,2.59,overcast clouds
40,Vao,NC,-22.6667,167.4833,70.65,70,100,15.66,overcast clouds
41,Qaqortoq,GL,60.7167,-46.0333,59.5,73,52,6.82,broken clouds
42,Mataura,NZ,-46.1927,168.8643,49.48,99,100,0.83,light rain
43,Kaitangata,NZ,-46.2817,169.8464,50.94,76,100,6.22,overcast clouds
44,Cape Town,ZA,-33.9258,18.4232,62.89,87,40,1.99,light rain
45,Richards Bay,ZA,-28.783,32.0377,69.1,84,45,10.42,scattered clouds
46,Namibe,AO,-15.1961,12.1522,74.68,70,0,9.33,clear sky
47,Hilo,US,19.7297,-155.09,76.28,77,90,8.05,overcast clouds
48,Castro,BR,-24.7911,-50.0119,70.97,65,99,12.1,overcast clouds
49,Pevek,RU,69.7008,170.3133,35.58,75,91,4.32,overcast clouds
50,Geraldton,AU,-28.7667,114.6,64.81,94,75,14.9,broken clouds
51,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,75,10.36,broken clouds
52,Atuona,PF,-9.8,-139.0333,79.77,74,17,15.46,few clouds
53,Albany,US,42.6001,-73.9662,59.27,52,100,5.06,overcast clouds
54,Butaritari,KI,3.0707,172.7902,81.64,81,95,12.88,light rain
55,Lorengau,PG,-2.0226,147.2712,80.67,81,82,6.46,broken clouds
56,Kyshtovka,RU,56.555,76.6271,42.69,68,34,2.59,scattered clouds
57,Thompson,CA,55.7435,-97.8558,60.96,27,75,13.8,broken clouds
58,Praya,CV,14.9215,-23.5087,79.34,57,20,23.02,few clouds
59,Honningsvag,NO,70.9821,25.9704,35.13,62,100,23.69,overcast clouds
