City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Skole,UA,2021-05-27 16:02:24,49.0372,23.5135,64.33,62,43,7.0
1,Busselton,AU,2021-05-27 16:02:04,-33.65,115.3333,59.09,82,1,10.18
2,Guerande,FR,2021-05-27 16:02:24,47.3291,-2.4283,67.69,71,81,5.06
3,Mar Del Plata,AR,2021-05-27 16:01:45,-38.0023,-57.5575,70.0,55,81,8.99
4,Vanavara,RU,2021-05-27 16:01:14,60.34,102.2797,40.05,55,48,2.66
5,Hithadhoo,MV,2021-05-27 16:02:25,-0.6,73.0833,84.07,74,82,17.13
6,Rikitea,PF,2021-05-27 16:02:25,-23.1203,-134.9692,72.27,60,99,10.89
7,Victoria,HK,2021-05-27 15:58:00,22.2855,114.1577,87.33,82,89,4.0
8,Moose Factory,CA,2021-05-27 16:02:26,51.2585,-80.6094,31.98,55,90,14.97
9,Severo-Kurilsk,RU,2021-05-27 16:02:26,50.6789,156.125,38.95,91,85,6.58
10,Beloha,MG,2021-05-27 16:02:26,-25.1667,45.05,67.3,74,3,7.02
11,Chuy,UY,2021-05-27 16:02:27,-33.6971,-53.4616,65.84,55,4,9.73
12,Savannah Bight,HN,2021-05-27 16:02:27,16.45,-85.85,84.99,78,80,14.54
13,Ribeira Grande,PT,2021-05-27 16:02:28,38.5167,-28.7,66.6,48,40,10.36
14,Puerto Ayora,EC,2021-05-27 16:02:28,-0.7393,-90.3518,77.56,89,61,5.99
15,Katobu,ID,2021-05-27 16:02:28,-4.9408,122.5276,76.6,89,16,7.05
16,Flinders,AU,2021-05-27 16:02:29,-34.5833,150.8552,55.2,73,0,9.22
17,Butaritari,KI,2021-05-27 16:02:29,3.0707,172.7902,82.78,79,71,19.66
18,Ilave,PE,2021-05-27 16:02:29,-16.0833,-69.6667,53.98,46,99,10.4
19,Vao,NC,2021-05-27 16:02:30,-22.6667,167.4833,71.01,72,56,11.36
20,Ponta Delgada,PT,2021-05-27 16:02:30,37.7333,-25.6667,66.92,59,20,14.97
21,Nishihara,JP,2021-05-27 16:02:30,26.1842,127.7558,78.08,94,75,3.76
22,Barrow,US,2021-05-27 16:02:31,71.2906,-156.7887,30.22,86,90,12.66
23,Ushuaia,AR,2021-05-27 16:01:44,-54.8,-68.3,29.46,80,90,3.29
24,Hermanus,ZA,2021-05-27 16:02:31,-34.4187,19.2345,62.8,67,89,15.46
25,Rawson,AR,2021-05-27 15:59:06,-43.3002,-65.1023,58.55,54,95,22.66
26,Alofi,NU,2021-05-27 16:02:32,-19.0595,-169.9187,77.63,80,33,7.65
27,Bluff,NZ,2021-05-27 16:02:32,-46.6,168.3333,49.8,85,100,3.49
28,Amot,NO,2021-05-27 16:02:32,59.5714,7.9877,59.5,66,86,5.46
29,Plouzane,FR,2021-05-27 16:02:33,48.3833,-4.6167,64.49,74,75,2.66
30,La Ronge,CA,2021-05-27 16:02:33,55.1001,-105.2842,50.77,42,100,13.76
31,Lebu,CL,2021-05-27 16:02:34,-37.6167,-73.65,57.02,95,100,12.88
32,Kapaa,US,2021-05-27 16:02:34,22.0752,-159.319,71.92,72,40,8.3
